review,rating,date,bank,app_name,source,package_name,user_name,thumbs_up
Unable to check account balance. App is unreliable and buggy.,2,2023-10-15,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User6536,7
Poor customer service. No response to my complaints about app errors.,2,2024-03-29,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User3355,12
Love the new features. Makes banking so much easier than going to the branch.,4,2024-11-21,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User3345,13
Fast money transfer feature is amazing. No more long queues at the bank!,4,2024-11-12,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User1677,9
Functional but not exceptional. Meets basic banking needs adequately.,3,2024-02-25,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User8105,18
Great user experience! The design is modern and intuitive.,4,2024-07-25,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User4598,6
Very convenient for paying bills and checking account balance anytime.,4,2024-12-25,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User3443,5
Acceptable app performance though it could be faster and more responsive.,3,2025-04-29,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User3240,14
Quick and secure payments. The app works perfectly on my phone.,5,2023-08-27,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User8565,3
Quick and secure payments. The app works perfectly on my phone.,4,2024-05-16,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User4107,0
Best banking app I've used. Transaction history is very clear and detailed.,5,2024-07-19,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User4166,12
"Unable to check account balance. App is unreliable and buggy. Comparing to other banks, this is my experience.",2,2024-05-28,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User9543,12
Great user experience! The design is modern and intuitive.,5,2024-07-28,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User3182,19
Update: Average mobile banking experience. Some features work better than others.,3,2023-08-14,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User6328,13
Love the new features. Makes banking so much easier than going to the branch.,5,2024-11-03,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User1969,15
Decent banking app with basic features. Nothing special but gets the job done.,3,2025-03-08,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User6617,3
Best banking app I've used. Transaction history is very clear and detailed.,4,2024-01-03,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User2755,16
Amazing app! Makes mobile banking incredibly easy and secure.,4,2023-09-21,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User4387,17
Login issues persist for weeks. Cannot access my account properly.,1,2023-07-22,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User5870,6
The app frequently logs me out during transactions. Needs major improvements.,2,2025-03-19,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User3267,13
Poor customer service. No response to my complaints about app errors. Overall satisfied with the service.,1,2024-01-14,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User6676,11
The app frequently logs me out during transactions. Needs major improvements.,2,2025-04-25,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User7253,7
Acceptable app performance though it could be faster and more responsive.,3,2023-11-14,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User1111,15
Fast money transfer feature is amazing. No more long queues at the bank!,5,2025-05-16,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User7007,4
Update: Acceptable app performance though it could be faster and more responsive.,3,2025-01-22,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User1293,4
Worst banking app experience! Constantly freezes and crashes.,2,2024-12-16,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User7024,18
Terrible user experience. The app is slow and unresponsive. Still my opinion.,2,2025-02-24,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User7783,18
Fast money transfer feature is amazing. No more long queues at the bank!,4,2024-03-18,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User1118,14
Very slow loading times. Takes forever to complete simple transactions.,2,2023-06-06,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User4428,1
App works fine but could use some improvements in the user interface.,3,2024-05-03,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User8734,15
Best banking app I've used. Transaction history is very clear and detailed.,5,2023-11-25,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User8259,20
Perfect for daily banking needs. All features work as expected.,2,2024-12-26,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User2173,5
Amazing app! Makes mobile banking incredibly easy and secure.,4,2023-11-17,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User5369,11
Great user experience! The design is modern and intuitive. Update: Still having the same experience.,5,2025-03-23,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User3225,18
Great user experience! The design is modern and intuitive.,5,2024-01-24,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User9957,0
App works as expected. Would like to see more payment options added. Overall satisfied with the service.,3,2025-05-05,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User7505,16
The app is okay for simple transactions but lacks advanced features.,3,2024-09-03,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User1279,9
"Poor customer service. No response to my complaints about app errors. Comparing to other banks, this is my experience. Still my opinion.",1,2024-09-18,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User1985,1
Login issues persist for weeks. Cannot access my account properly.,1,2025-04-18,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User6463,13
"Fast money transfer feature is amazing. No more long queues at the bank! Comparing to other banks, this is my experience.",4,2024-06-07,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User3765,10
The app is stable and reliable. Never had any technical issues.,4,2024-07-07,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User8481,1
Bill payment feature never works properly. Always shows server errors.,2,2024-02-03,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User2473,7
App works fine but could use some improvements in the user interface. Posting again to emphasize.,3,2023-12-11,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User1358,2
Perfect for daily banking needs. All features work as expected. Update: Still having the same experience.,5,2025-05-10,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User5341,14
The app is okay for simple transactions but lacks advanced features.,3,2025-05-17,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User3130,14
Cannot transfer money - app shows error messages constantly.,2,2024-12-01,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User7435,4
The app is stable and reliable. Never had any technical issues.,5,2024-07-02,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User3102,18
Smooth and efficient. Customer support is very responsive.,4,2024-05-06,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User7810,0
Very convenient for paying bills and checking account balance anytime.,5,2023-06-25,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User9314,18
Excellent mobile banking app! Very user-friendly interface and fast transactions. Update: Still having the same experience.,4,2023-08-28,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User8402,3
Login issues persist for weeks. Cannot access my account properly.,1,2023-09-04,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User4729,20
"The app is stable and reliable. Never had any technical issues. Comparing to other banks, this is my experience.",4,2024-01-01,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User2023,19
The app frequently logs me out during transactions. Needs major improvements.,2,2023-09-23,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User2666,9
Great user experience! The design is modern and intuitive. Been using this app for months now.,5,2023-07-13,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User2728,10
The app frequently logs me out during transactions. Needs major improvements.,1,2023-12-02,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User7507,0
Amazing app! Makes mobile banking incredibly easy and secure.,5,2024-04-13,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User9913,20
Very convenient for paying bills and checking account balance anytime.,5,2024-06-17,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User8312,0
Quick and secure payments. The app works perfectly on my phone.,2,2024-04-11,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User5651,14
Amazing app! Makes mobile banking incredibly easy and secure.,4,2024-01-18,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User8751,10
Ordinary mobile banking experience. Nothing outstanding but functional.,3,2025-05-25,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User5554,8
Best banking app I've used. Transaction history is very clear and detailed.,3,2024-09-14,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User1000,12
"Great user experience! The design is modern and intuitive. Comparing to other banks, this is my experience.",5,2023-10-17,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User7248,16
Perfect for daily banking needs. All features work as expected. Hope they continue to improve.,4,2023-07-05,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User7761,17
Unable to check account balance. App is unreliable and buggy.,2,2024-11-07,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User3280,20
Smooth and efficient. Customer support is very responsive. Update: Still having the same experience.,4,2024-12-10,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User6384,16
Bill payment feature never works properly. Always shows server errors.,2,2023-07-27,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User6200,12
The app is stable and reliable. Never had any technical issues. Update: Still having the same experience.,5,2025-05-07,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User4907,20
Terrible user experience. The app is slow and unresponsive. Update: Still having the same experience.,2,2025-03-10,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User3969,13
App works fine but could use some improvements in the user interface. Hope they continue to improve.,3,2024-12-18,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User2589,14
Login issues persist for weeks. Cannot access my account properly.,2,2024-05-29,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User1803,7
Love the new features. Makes banking so much easier than going to the branch.,4,2024-08-12,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User4471,7
"Love the new features. Makes banking so much easier than going to the branch. Comparing to other banks, this is my experience.",5,2023-10-19,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User1129,2
The app frequently logs me out during transactions. Needs major improvements. Hope they continue to improve.,2,2025-05-27,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User4150,8
Acceptable app performance though it could be faster and more responsive. Been using this app for months now.,3,2023-08-21,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User2032,2
Perfect for daily banking needs. All features work as expected. Hope they continue to improve.,5,2023-06-05,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User3319,5
Amazing app! Makes mobile banking incredibly easy and secure. Overall satisfied with the service.,4,2023-09-04,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User2890,5
Login issues persist for weeks. Cannot access my account properly.,1,2023-09-19,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User4180,0
Very convenient for paying bills and checking account balance anytime.,4,2024-04-10,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User6133,17
Best banking app I've used. Transaction history is very clear and detailed.,3,2024-12-09,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User2665,13
Mixed experience - some features are good while others need work.,3,2024-05-04,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User8246,16
Mixed experience - some features are good while others need work.,3,2024-06-04,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User5483,20
Perfect for daily banking needs. All features work as expected.,4,2024-10-14,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User3968,10
Excellent mobile banking app! Very user-friendly interface and fast transactions.,5,2023-11-28,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User6767,19
Terrible user experience. The app is slow and unresponsive.,2,2024-08-07,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User4428,0
"Standard banking app with room for improvement in user experience. Comparing to other banks, this is my experience. Still my opinion.",3,2024-02-28,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User5167,2
Amazing app! Makes mobile banking incredibly easy and secure.,3,2024-11-26,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User7657,16
"Great user experience! The design is modern and intuitive. Comparing to other banks, this is my experience.",4,2025-01-24,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User3098,10
Great user experience! The design is modern and intuitive.,2,2023-11-18,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User2207,9
Standard banking app with room for improvement in user experience.,3,2024-06-02,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User5204,6
Fast money transfer feature is amazing. No more long queues at the bank! Hope they continue to improve.,4,2024-11-04,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User7965,4
Acceptable app performance though it could be faster and more responsive.,3,2024-12-05,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User6030,11
Login issues persist for weeks. Cannot access my account properly.,2,2025-02-22,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User3444,13
Best banking app I've used. Transaction history is very clear and detailed. Been using this app for months now.,5,2024-08-22,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User4351,15
Poor customer service. No response to my complaints about app errors.,1,2024-03-30,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User5349,0
Amazing app! Makes mobile banking incredibly easy and secure.,5,2023-07-24,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User6023,14
Very slow loading times. Takes forever to complete simple transactions. Update: Still having the same experience.,2,2024-11-03,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User6759,5
Decent banking app with basic features. Nothing special but gets the job done.,3,2024-07-07,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User8406,1
Love the new features. Makes banking so much easier than going to the branch.,4,2024-11-25,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User3236,20
Great user experience! The design is modern and intuitive.,3,2024-08-21,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User6850,10
Best banking app I've used. Transaction history is very clear and detailed.,4,2024-08-07,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User4560,4
Fast money transfer feature is amazing. No more long queues at the bank!,4,2024-01-19,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User6628,15
Outstanding customer service through the app. Highly recommended!,4,2024-12-01,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User1269,12
Great user experience! The design is modern and intuitive.,5,2023-11-29,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User6815,20
Poor customer service. No response to my complaints about app errors. Been using this app for months now.,2,2025-06-02,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User4807,14
Regular banking app - works fine for checking balance and simple transfers.,3,2023-12-10,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User6156,0
The app is okay for simple transactions but lacks advanced features.,3,2024-09-09,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User4867,15
The app is stable and reliable. Never had any technical issues.,4,2024-11-21,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User5271,20
Great user experience! The design is modern and intuitive.,4,2024-09-23,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User5746,18
Ordinary mobile banking experience. Nothing outstanding but functional.,3,2024-05-28,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User3317,15
Excellent mobile banking app! Very user-friendly interface and fast transactions. Overall satisfied with the service.,5,2025-02-26,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User5289,8
Outstanding customer service through the app. Highly recommended!,5,2024-09-25,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User7041,0
Great user experience! The design is modern and intuitive.,4,2024-10-08,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User2601,13
Bill payment feature never works properly. Always shows server errors.,2,2024-11-29,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User8514,0
Outdated interface and confusing navigation. Needs complete redesign. Hope they continue to improve.,1,2024-09-01,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User1558,14
Fast money transfer feature is amazing. No more long queues at the bank! Been using this app for months now.,4,2023-10-07,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User8342,15
Great user experience! The design is modern and intuitive. Overall satisfied with the service.,4,2025-03-16,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User3206,9
Outstanding customer service through the app. Highly recommended! Still my opinion.,4,2024-10-16,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User1625,3
Functional but not exceptional. Meets basic banking needs adequately. Overall satisfied with the service.,3,2024-03-01,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User4027,20
Best banking app I've used. Transaction history is very clear and detailed. Update: Still having the same experience.,4,2025-03-27,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User1456,16
Standard banking app with room for improvement in user experience.,3,2025-02-10,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User7047,7
Fast money transfer feature is amazing. No more long queues at the bank! Update: Still having the same experience.,4,2025-04-01,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User3157,8
Fast money transfer feature is amazing. No more long queues at the bank!,5,2024-11-05,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User5094,15
Very slow loading times. Takes forever to complete simple transactions.,1,2023-07-17,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User6819,2
Cannot transfer money - app shows error messages constantly. Been using this app for months now.,2,2023-12-09,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User7877,6
Fast money transfer feature is amazing. No more long queues at the bank!,4,2024-09-09,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User4859,12
Regular banking app - works fine for checking balance and simple transfers.,3,2025-04-21,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User6720,10
Bill payment feature never works properly. Always shows server errors. Update: Still having the same experience.,1,2024-10-07,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User3992,5
Excellent mobile banking app! Very user-friendly interface and fast transactions.,4,2024-10-26,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User8904,6
Amazing app! Makes mobile banking incredibly easy and secure.,4,2025-04-10,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User1148,14
App works as expected. Would like to see more payment options added.,3,2024-11-28,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User9504,3
Quick and secure payments. The app works perfectly on my phone. Been using this app for months now.,4,2024-03-16,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User7505,19
