review,rating,date,bank,source,review_length,word_count,rating_category,sentiment_polarity,year,month,vader_compound,vader_positive,vader_neutral,vader_negative,vader_label,textblob_polarity,textblob_subjectivity,textblob_label,distilbert_positive,distilbert_negative,distilbert_label,distilbert_confidence,ensemble_label,ensemble_confidence
Update Average mobile banking experience. Some features work better than others.,3,2023-08-14,Commercial Bank of Ethiopia,Google Play,80,11,Average,Neutral,2023,8,0.4404,0.225,0.775,0.0,Positive,0.175,0.44999999999999996,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Decent banking app with basic features. Nothing special but gets the job done.,3,2025-03-08,Commercial Bank of Ethiopia,Google Play,78,13,Average,Neutral,2025,3,-0.1603,0.0,0.88,0.12,Negative,0.17460317460317462,0.45436507936507936,Positive,0.0,0.0,Neutral,0.0,Negative,0.3333333333333333
Amazing app! Makes mobile banking incredibly easy and secure.,4,2023-09-21,Commercial Bank of Ethiopia,Google Play,61,9,Good,Positive,2023,9,0.8735,0.624,0.376,0.0,Positive,0.5277777777777778,0.7777777777777778,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Login issues persist for weeks. Cannot access my account properly.,1,2023-07-22,Commercial Bank of Ethiopia,Google Play,66,10,Very Poor,Negative,2023,7,0.0,0.0,1.0,0.0,Neutral,0.0,0.1,Neutral,0.0,0.0,Neutral,0.0,Neutral,1.0
The app frequently logs me out during transactions. Needs major improvements.,2,2025-03-19,Commercial Bank of Ethiopia,Google Play,77,11,Poor,Negative,2025,3,0.3804,0.206,0.794,0.0,Positive,0.08125,0.4,Neutral,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
Poor customer service. No response to my complaints about app errors. Overall satisfied with the service.,1,2024-01-14,Commercial Bank of Ethiopia,Google Play,105,16,Very Poor,Negative,2024,1,-0.765,0.116,0.455,0.43,Negative,0.033333333333333326,0.5333333333333333,Neutral,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
Update Acceptable app performance though it could be faster and more responsive.,3,2025-01-22,Commercial Bank of Ethiopia,Google Play,80,12,Average,Neutral,2025,1,0.624,0.337,0.663,0.0,Positive,0.5,0.5,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Worst banking app experience! Constantly freezes and crashes.,2,2024-12-16,Commercial Bank of Ethiopia,Google Play,61,8,Poor,Negative,2024,12,-0.6696,0.0,0.522,0.478,Negative,-0.5,0.6666666666666666,Negative,0.0,0.0,Neutral,0.0,Negative,0.6666666666666666
Terrible user experience. The app is slow and unresponsive. Still my opinion.,2,2025-02-24,Commercial Bank of Ethiopia,Google Play,77,12,Poor,Negative,2025,2,-0.4767,0.0,0.78,0.22,Negative,-0.65,0.7,Negative,0.0,0.0,Neutral,0.0,Negative,0.6666666666666666
Very slow loading times. Takes forever to complete simple transactions.,2,2023-06-06,Commercial Bank of Ethiopia,Google Play,71,10,Poor,Negative,2023,6,0.0,0.0,1.0,0.0,Neutral,-0.09666666666666668,0.4257142857142857,Neutral,0.0,0.0,Neutral,0.0,Neutral,1.0
App works fine but could use some improvements in the user interface.,3,2024-05-03,Commercial Bank of Ethiopia,Google Play,69,12,Average,Neutral,2024,5,0.5187,0.303,0.697,0.0,Positive,0.4166666666666667,0.5,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Perfect for daily banking needs. All features work as expected.,2,2024-12-26,Commercial Bank of Ethiopia,Google Play,63,10,Poor,Negative,2024,12,0.5719,0.291,0.709,0.0,Positive,0.3,0.4666666666666666,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Great user experience! The design is modern and intuitive. Update Still having the same experience.,5,2025-03-23,Commercial Bank of Ethiopia,Google Play,99,15,Excellent,Positive,2025,3,0.6588,0.239,0.761,0.0,Positive,0.39999999999999997,0.39166666666666666,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
App works as expected. Would like to see more payment options added. Overall satisfied with the service.,3,2025-05-05,Commercial Bank of Ethiopia,Google Play,104,17,Average,Neutral,2025,5,0.6486,0.261,0.739,0.0,Positive,0.225,0.475,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
The app is okay for simple transactions but lacks advanced features.,3,2024-09-03,Commercial Bank of Ethiopia,Google Play,68,11,Average,Neutral,2024,9,0.4497,0.305,0.695,0.0,Positive,0.3,0.48571428571428577,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
"Poor customer service. No response to my complaints about app errors. Comparing to other banks, this is my experience. Still my opinion.",1,2024-09-18,Commercial Bank of Ethiopia,Google Play,136,22,Very Poor,Negative,2024,9,-0.8555,0.0,0.634,0.366,Negative,-0.2625,0.4875,Negative,0.0,0.0,Neutral,0.0,Negative,0.6666666666666666
"Fast money transfer feature is amazing. No more long queues at the bank! Comparing to other banks, this is my experience.",4,2024-06-07,Commercial Bank of Ethiopia,Google Play,121,21,Good,Positive,2024,6,0.4389,0.162,0.751,0.087,Positive,0.07250000000000001,0.5549999999999999,Neutral,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
The app is stable and reliable. Never had any technical issues.,4,2024-07-07,Commercial Bank of Ethiopia,Google Play,63,11,Good,Positive,2024,7,0.296,0.18,0.82,0.0,Positive,0.0,0.1,Neutral,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
Bill payment feature never works properly. Always shows server errors.,2,2024-02-03,Commercial Bank of Ethiopia,Google Play,70,10,Poor,Negative,2024,2,-0.34,0.0,0.789,0.211,Negative,0.0,0.1,Neutral,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
App works fine but could use some improvements in the user interface. Posting again to emphasize.,3,2023-12-11,Commercial Bank of Ethiopia,Google Play,97,16,Average,Neutral,2023,12,0.5187,0.237,0.763,0.0,Positive,0.4166666666666667,0.5,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Perfect for daily banking needs. All features work as expected. Update Still having the same experience.,5,2025-05-10,Commercial Bank of Ethiopia,Google Play,104,16,Excellent,Positive,2025,5,0.5719,0.198,0.802,0.0,Positive,0.225,0.38125,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Cannot transfer money - app shows error messages constantly.,2,2024-12-01,Commercial Bank of Ethiopia,Google Play,60,9,Poor,Negative,2024,12,-0.4019,0.0,0.748,0.252,Negative,0.0,0.3333333333333333,Neutral,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
Smooth and efficient. Customer support is very responsive.,4,2024-05-06,Commercial Bank of Ethiopia,Google Play,58,8,Good,Positive,2024,5,0.807,0.624,0.376,0.0,Positive,0.30000000000000004,0.4,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Excellent mobile banking app! Very user-friendly interface and fast transactions. Update Still having the same experience.,4,2023-08-28,Commercial Bank of Ethiopia,Google Play,122,16,Good,Positive,2023,8,0.6114,0.21,0.79,0.0,Positive,0.35,0.50625,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
"The app is stable and reliable. Never had any technical issues. Comparing to other banks, this is my experience.",4,2024-01-01,Commercial Bank of Ethiopia,Google Play,112,19,Good,Positive,2024,1,0.296,0.109,0.891,0.0,Positive,-0.0625,0.2375,Neutral,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
Great user experience! The design is modern and intuitive. Been using this app for months now.,5,2023-07-13,Commercial Bank of Ethiopia,Google Play,94,16,Excellent,Positive,2023,7,0.6588,0.226,0.774,0.0,Positive,0.6,0.525,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Ordinary mobile banking experience. Nothing outstanding but functional.,3,2025-05-25,Commercial Bank of Ethiopia,Google Play,71,8,Average,Neutral,2025,5,-0.2755,0.0,0.768,0.232,Negative,0.125,0.6875,Positive,0.0,0.0,Neutral,0.0,Negative,0.3333333333333333
Perfect for daily banking needs. All features work as expected. Hope they continue to improve.,4,2023-07-05,Commercial Bank of Ethiopia,Google Play,94,15,Good,Positive,2023,7,0.8591,0.442,0.558,0.0,Positive,0.3,0.4666666666666666,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Smooth and efficient. Customer support is very responsive. Update Still having the same experience.,4,2024-12-10,Commercial Bank of Ethiopia,Google Play,99,14,Good,Positive,2024,12,0.807,0.43,0.57,0.0,Positive,0.20000000000000004,0.30833333333333335,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
The app is stable and reliable. Never had any technical issues. Update Still having the same experience.,5,2025-05-07,Commercial Bank of Ethiopia,Google Play,104,17,Excellent,Positive,2025,5,0.296,0.121,0.879,0.0,Positive,0.0,0.1125,Neutral,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
Terrible user experience. The app is slow and unresponsive. Update Still having the same experience.,2,2025-03-10,Commercial Bank of Ethiopia,Google Play,100,15,Poor,Negative,2025,3,-0.4767,0.0,0.819,0.181,Negative,-0.43333333333333335,0.5083333333333333,Negative,0.0,0.0,Neutral,0.0,Negative,0.6666666666666666
App works fine but could use some improvements in the user interface. Hope they continue to improve.,3,2024-12-18,Commercial Bank of Ethiopia,Google Play,100,17,Average,Neutral,2024,12,0.9011,0.481,0.519,0.0,Positive,0.4166666666666667,0.5,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
"Love the new features. Makes banking so much easier than going to the branch. Comparing to other banks, this is my experience.",5,2023-10-19,Commercial Bank of Ethiopia,Google Play,126,22,Excellent,Positive,2023,10,0.8062,0.267,0.733,0.0,Positive,0.1778409090909091,0.4073863636363636,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
The app frequently logs me out during transactions. Needs major improvements. Hope they continue to improve.,2,2025-05-27,Commercial Bank of Ethiopia,Google Play,108,16,Poor,Negative,2025,5,0.8258,0.4,0.6,0.0,Positive,0.08125,0.4,Neutral,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
Acceptable app performance though it could be faster and more responsive. Been using this app for months now.,3,2023-08-21,Commercial Bank of Ethiopia,Google Play,109,18,Average,Neutral,2023,8,0.624,0.241,0.759,0.0,Positive,0.5,0.5,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Amazing app! Makes mobile banking incredibly easy and secure. Overall satisfied with the service.,4,2023-09-04,Commercial Bank of Ethiopia,Google Play,97,14,Good,Positive,2023,9,0.9144,0.56,0.44,0.0,Positive,0.4166666666666667,0.6666666666666667,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Mixed experience - some features are good while others need work.,3,2024-05-04,Commercial Bank of Ethiopia,Google Play,65,11,Average,Neutral,2024,5,0.4404,0.225,0.775,0.0,Positive,0.35,0.42500000000000004,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Excellent mobile banking app! Very user-friendly interface and fast transactions.,5,2023-11-28,Commercial Bank of Ethiopia,Google Play,81,10,Excellent,Positive,2023,11,0.6114,0.307,0.693,0.0,Positive,0.4666666666666666,0.6333333333333333,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Terrible user experience. The app is slow and unresponsive.,2,2024-08-07,Commercial Bank of Ethiopia,Google Play,59,9,Poor,Negative,2024,8,-0.4767,0.0,0.721,0.279,Negative,-0.65,0.7,Negative,0.0,0.0,Neutral,0.0,Negative,0.6666666666666666
"Standard banking app with room for improvement in user experience. Comparing to other banks, this is my experience. Still my opinion.",3,2024-02-28,Commercial Bank of Ethiopia,Google Play,133,21,Average,Neutral,2024,2,0.4588,0.13,0.87,0.0,Positive,-0.0625,0.1875,Neutral,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
Fast money transfer feature is amazing. No more long queues at the bank! Hope they continue to improve.,4,2024-11-04,Commercial Bank of Ethiopia,Google Play,103,18,Good,Positive,2024,11,0.8268,0.379,0.537,0.084,Positive,0.12187500000000001,0.6,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Best banking app I ve used. Transaction history is very clear and detailed. Been using this app for months now.,5,2024-08-22,Commercial Bank of Ethiopia,Google Play,111,20,Excellent,Positive,2024,8,0.796,0.283,0.717,0.0,Positive,0.5099999999999999,0.5161111111111111,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Very slow loading times. Takes forever to complete simple transactions. Update Still having the same experience.,2,2024-11-03,Commercial Bank of Ethiopia,Google Play,112,16,Poor,Negative,2024,11,0.0,0.0,1.0,0.0,Neutral,-0.07250000000000001,0.3505357142857143,Neutral,0.0,0.0,Neutral,0.0,Neutral,1.0
Outstanding customer service through the app. Highly recommended!,4,2024-12-01,Commercial Bank of Ethiopia,Google Play,65,8,Good,Positive,2024,12,0.7495,0.516,0.484,0.0,Positive,0.35,0.7075,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Poor customer service. No response to my complaints about app errors. Been using this app for months now.,2,2025-06-02,Commercial Bank of Ethiopia,Google Play,105,18,Poor,Negative,2025,6,-0.8555,0.0,0.574,0.426,Negative,-0.4,0.6,Negative,0.0,0.0,Neutral,0.0,Negative,0.6666666666666666
Regular banking app - works fine for checking balance and simple transfers.,3,2023-12-10,Commercial Bank of Ethiopia,Google Play,75,12,Average,Neutral,2023,12,0.2023,0.141,0.859,0.0,Positive,0.1388888888888889,0.31135531135531136,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Excellent mobile banking app! Very user-friendly interface and fast transactions. Overall satisfied with the service.,5,2025-02-26,Commercial Bank of Ethiopia,Google Play,117,15,Excellent,Positive,2025,2,0.7777,0.343,0.657,0.0,Positive,0.38,0.58,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Outdated interface and confusing navigation. Needs complete redesign. Hope they continue to improve.,1,2024-09-01,Commercial Bank of Ethiopia,Google Play,100,13,Very Poor,Negative,2024,9,0.5994,0.328,0.565,0.107,Positive,-0.20000000000000004,0.47777777777777786,Negative,0.0,0.0,Neutral,0.0,Positive,0.3333333333333333
Fast money transfer feature is amazing. No more long queues at the bank! Been using this app for months now.,4,2023-10-07,Commercial Bank of Ethiopia,Google Play,108,20,Good,Positive,2023,10,0.4389,0.168,0.741,0.091,Positive,0.12187500000000001,0.6,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Great user experience! The design is modern and intuitive. Overall satisfied with the service.,4,2025-03-16,Commercial Bank of Ethiopia,Google Play,94,14,Good,Positive,2025,3,0.8016,0.375,0.625,0.0,Positive,0.425,0.5125,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Outstanding customer service through the app. Highly recommended! Still my opinion.,4,2024-10-16,Commercial Bank of Ethiopia,Google Play,83,11,Good,Positive,2024,10,0.7495,0.415,0.585,0.0,Positive,0.35,0.7075,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Functional but not exceptional. Meets basic banking needs adequately. Overall satisfied with the service.,3,2024-03-01,Commercial Bank of Ethiopia,Google Play,105,14,Average,Neutral,2024,3,0.5719,0.222,0.778,0.0,Positive,0.04166666666666667,0.53125,Neutral,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
Best banking app I ve used. Transaction history is very clear and detailed. Update Still having the same experience.,4,2025-03-27,Commercial Bank of Ethiopia,Google Play,116,19,Good,Positive,2025,3,0.796,0.294,0.706,0.0,Positive,0.38249999999999995,0.41833333333333333,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Fast money transfer feature is amazing. No more long queues at the bank! Update Still having the same experience.,4,2025-04-01,Commercial Bank of Ethiopia,Google Play,113,19,Good,Positive,2025,4,0.4389,0.176,0.73,0.094,Positive,0.0975,0.505,Neutral,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
Cannot transfer money - app shows error messages constantly. Been using this app for months now.,2,2023-12-09,Commercial Bank of Ethiopia,Google Play,96,16,Poor,Negative,2023,12,-0.4019,0.0,0.847,0.153,Negative,0.0,0.3333333333333333,Neutral,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
Bill payment feature never works properly. Always shows server errors. Update Still having the same experience.,1,2024-10-07,Commercial Bank of Ethiopia,Google Play,111,16,Very Poor,Negative,2024,10,-0.34,0.0,0.862,0.138,Negative,0.0,0.1125,Neutral,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
Quick and secure payments. The app works perfectly on my phone. Been using this app for months now.,4,2024-03-16,Commercial Bank of Ethiopia,Google Play,99,18,Good,Positive,2024,3,0.765,0.292,0.708,0.0,Positive,0.5777777777777778,0.7000000000000001,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Mixed experience - some features are good while others need work. Overall satisfied with the service.,3,2025-03-24,Commercial Bank of Ethiopia,Google Play,101,16,Average,Neutral,2025,3,0.6908,0.289,0.711,0.0,Positive,0.3,0.4625,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Outstanding customer service through the app. Highly recommended! Overall satisfied with the service.,4,2023-06-22,Commercial Bank of Ethiopia,Google Play,101,13,Good,Positive,2023,6,0.8573,0.486,0.514,0.0,Positive,0.3,0.60375,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Ordinary mobile banking experience. Nothing outstanding but functional. Hope they continue to improve.,3,2025-05-22,Commercial Bank of Ethiopia,Google Play,102,13,Average,Neutral,2025,5,0.7643,0.389,0.505,0.107,Positive,0.125,0.6875,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Acceptable app performance though it could be faster and more responsive. Update Still having the same experience.,3,2023-06-15,Commercial Bank of Ethiopia,Google Play,114,17,Average,Neutral,2023,6,0.624,0.253,0.747,0.0,Positive,0.25,0.3125,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Update Mixed experience - some features are good while others need work.,3,2024-11-26,Commercial Bank of Ethiopia,Google Play,72,12,Average,Neutral,2024,11,0.4404,0.209,0.791,0.0,Positive,0.35,0.42500000000000004,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Outdated interface and confusing navigation. Needs complete redesign. Been using this app for months now.,2,2023-12-04,Commercial Bank of Ethiopia,Google Play,105,15,Poor,Negative,2023,12,-0.2263,0.0,0.881,0.119,Negative,-0.20000000000000004,0.47777777777777786,Negative,0.0,0.0,Neutral,0.0,Negative,0.6666666666666666
"Outstanding customer service through the app. Highly recommended! Comparing to other banks, this is my experience.",4,2024-07-31,Commercial Bank of Ethiopia,Google Play,114,16,Good,Positive,2024,7,0.7495,0.313,0.687,0.0,Positive,0.19166666666666665,0.5966666666666667,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Average mobile banking experience. Some features work better than others.,3,2025-02-09,Commercial Bank of Ethiopia,Google Play,73,10,Average,Neutral,2025,2,0.4404,0.244,0.756,0.0,Positive,0.175,0.44999999999999996,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Amazing app! Makes mobile banking incredibly easy and secure. Update Still having the same experience.,5,2024-08-24,Commercial Bank of Ethiopia,Google Play,102,15,Excellent,Positive,2024,8,0.8735,0.453,0.547,0.0,Positive,0.39583333333333337,0.6145833333333334,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Regular banking app - works fine for checking balance and simple transfers. Been using this app for months now.,3,2023-06-09,Commercial Bank of Ethiopia,Google Play,111,19,Average,Neutral,2023,6,0.2023,0.091,0.909,0.0,Positive,0.1388888888888889,0.31135531135531136,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Update Outdated interface and confusing navigation. Needs complete redesign. Hope they continue to improve.,1,2025-05-15,Commercial Bank of Ethiopia,Google Play,107,14,Very Poor,Negative,2025,5,0.5994,0.31,0.588,0.102,Positive,-0.20000000000000004,0.47777777777777786,Negative,0.0,0.0,Neutral,0.0,Positive,0.3333333333333333
Amazing app! Makes mobile banking incredibly easy and secure. Still my opinion.,4,2024-01-31,Commercial Bank of Ethiopia,Google Play,79,12,Good,Positive,2024,1,0.8735,0.525,0.475,0.0,Positive,0.5277777777777778,0.7777777777777778,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Best banking app I ve used. Transaction history is very clear and detailed. Overall satisfied with the service.,4,2025-04-16,Commercial Bank of Ethiopia,Google Play,111,18,Good,Positive,2025,4,0.8718,0.397,0.603,0.0,Positive,0.40599999999999997,0.5096666666666667,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Ordinary mobile banking experience. Nothing outstanding but functional. Overall satisfied with the service.,3,2023-10-14,Commercial Bank of Ethiopia,Google Play,107,13,Average,Neutral,2023,10,0.3798,0.22,0.654,0.126,Positive,0.1875,0.59375,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
"Very convenient for paying bills and checking account balance anytime. Comparing to other banks, this is my experience.",4,2023-07-02,Commercial Bank of Ethiopia,Google Play,119,18,Good,Positive,2023,7,0.0,0.0,1.0,0.0,Neutral,0.037500000000000006,0.3375,Neutral,0.0,0.0,Neutral,0.0,Neutral,1.0
Decent banking app with basic features. Nothing special but gets the job done. Overall satisfied with the service.,3,2023-11-25,Commercial Bank of Ethiopia,Google Play,114,18,Average,Neutral,2023,11,0.4715,0.173,0.75,0.076,Positive,0.20476190476190476,0.4726190476190476,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Love the new features. Makes banking so much easier than going to the branch. Overall satisfied with the service.,4,2024-11-06,Commercial Bank of Ethiopia,Google Play,113,19,Good,Positive,2024,11,0.8773,0.386,0.614,0.0,Positive,0.2672727272727273,0.45090909090909087,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Very convenient for paying bills and checking account balance anytime. Been using this app for months now.,4,2023-11-07,Commercial Bank of Ethiopia,Google Play,106,17,Good,Positive,2023,11,0.0,0.0,1.0,0.0,Neutral,0.2,0.3,Positive,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
