review,rating,date,bank,source,review_length,word_count,rating_category,sentiment_polarity,year,month
Update Average mobile banking experience. Some features work better than others.,3,2023-08-14,Commercial Bank of Ethiopia,Google Play,80,11,Average,Neutral,2023,8
Decent banking app with basic features. Nothing special but gets the job done.,3,2025-03-08,Commercial Bank of Ethiopia,Google Play,78,13,Average,Neutral,2025,3
Amazing app! Makes mobile banking incredibly easy and secure.,4,2023-09-21,Commercial Bank of Ethiopia,Google Play,61,9,Good,Positive,2023,9
Login issues persist for weeks. Cannot access my account properly.,1,2023-07-22,Commercial Bank of Ethiopia,Google Play,66,10,Very Poor,Negative,2023,7
The app frequently logs me out during transactions. Needs major improvements.,2,2025-03-19,Commercial Bank of Ethiopia,Google Play,77,11,Poor,Negative,2025,3
Poor customer service. No response to my complaints about app errors. Overall satisfied with the service.,1,2024-01-14,Commercial Bank of Ethiopia,Google Play,105,16,Very Poor,Negative,2024,1
Update Acceptable app performance though it could be faster and more responsive.,3,2025-01-22,Commercial Bank of Ethiopia,Google Play,80,12,Average,Neutral,2025,1
Worst banking app experience! Constantly freezes and crashes.,2,2024-12-16,Commercial Bank of Ethiopia,Google Play,61,8,Poor,Negative,2024,12
Terrible user experience. The app is slow and unresponsive. Still my opinion.,2,2025-02-24,Commercial Bank of Ethiopia,Google Play,77,12,Poor,Negative,2025,2
Very slow loading times. Takes forever to complete simple transactions.,2,2023-06-06,Commercial Bank of Ethiopia,Google Play,71,10,Poor,Negative,2023,6
App works fine but could use some improvements in the user interface.,3,2024-05-03,Commercial Bank of Ethiopia,Google Play,69,12,Average,Neutral,2024,5
Perfect for daily banking needs. All features work as expected.,2,2024-12-26,Commercial Bank of Ethiopia,Google Play,63,10,Poor,Negative,2024,12
Great user experience! The design is modern and intuitive. Update Still having the same experience.,5,2025-03-23,Commercial Bank of Ethiopia,Google Play,99,15,Excellent,Positive,2025,3
App works as expected. Would like to see more payment options added. Overall satisfied with the service.,3,2025-05-05,Commercial Bank of Ethiopia,Google Play,104,17,Average,Neutral,2025,5
The app is okay for simple transactions but lacks advanced features.,3,2024-09-03,Commercial Bank of Ethiopia,Google Play,68,11,Average,Neutral,2024,9
"Poor customer service. No response to my complaints about app errors. Comparing to other banks, this is my experience. Still my opinion.",1,2024-09-18,Commercial Bank of Ethiopia,Google Play,136,22,Very Poor,Negative,2024,9
"Fast money transfer feature is amazing. No more long queues at the bank! Comparing to other banks, this is my experience.",4,2024-06-07,Commercial Bank of Ethiopia,Google Play,121,21,Good,Positive,2024,6
The app is stable and reliable. Never had any technical issues.,4,2024-07-07,Commercial Bank of Ethiopia,Google Play,63,11,Good,Positive,2024,7
Bill payment feature never works properly. Always shows server errors.,2,2024-02-03,Commercial Bank of Ethiopia,Google Play,70,10,Poor,Negative,2024,2
App works fine but could use some improvements in the user interface. Posting again to emphasize.,3,2023-12-11,Commercial Bank of Ethiopia,Google Play,97,16,Average,Neutral,2023,12
Perfect for daily banking needs. All features work as expected. Update Still having the same experience.,5,2025-05-10,Commercial Bank of Ethiopia,Google Play,104,16,Excellent,Positive,2025,5
Cannot transfer money - app shows error messages constantly.,2,2024-12-01,Commercial Bank of Ethiopia,Google Play,60,9,Poor,Negative,2024,12
Smooth and efficient. Customer support is very responsive.,4,2024-05-06,Commercial Bank of Ethiopia,Google Play,58,8,Good,Positive,2024,5
Excellent mobile banking app! Very user-friendly interface and fast transactions. Update Still having the same experience.,4,2023-08-28,Commercial Bank of Ethiopia,Google Play,122,16,Good,Positive,2023,8
"The app is stable and reliable. Never had any technical issues. Comparing to other banks, this is my experience.",4,2024-01-01,Commercial Bank of Ethiopia,Google Play,112,19,Good,Positive,2024,1
Great user experience! The design is modern and intuitive. Been using this app for months now.,5,2023-07-13,Commercial Bank of Ethiopia,Google Play,94,16,Excellent,Positive,2023,7
Ordinary mobile banking experience. Nothing outstanding but functional.,3,2025-05-25,Commercial Bank of Ethiopia,Google Play,71,8,Average,Neutral,2025,5
Perfect for daily banking needs. All features work as expected. Hope they continue to improve.,4,2023-07-05,Commercial Bank of Ethiopia,Google Play,94,15,Good,Positive,2023,7
Smooth and efficient. Customer support is very responsive. Update Still having the same experience.,4,2024-12-10,Commercial Bank of Ethiopia,Google Play,99,14,Good,Positive,2024,12
The app is stable and reliable. Never had any technical issues. Update Still having the same experience.,5,2025-05-07,Commercial Bank of Ethiopia,Google Play,104,17,Excellent,Positive,2025,5
Terrible user experience. The app is slow and unresponsive. Update Still having the same experience.,2,2025-03-10,Commercial Bank of Ethiopia,Google Play,100,15,Poor,Negative,2025,3
App works fine but could use some improvements in the user interface. Hope they continue to improve.,3,2024-12-18,Commercial Bank of Ethiopia,Google Play,100,17,Average,Neutral,2024,12
"Love the new features. Makes banking so much easier than going to the branch. Comparing to other banks, this is my experience.",5,2023-10-19,Commercial Bank of Ethiopia,Google Play,126,22,Excellent,Positive,2023,10
The app frequently logs me out during transactions. Needs major improvements. Hope they continue to improve.,2,2025-05-27,Commercial Bank of Ethiopia,Google Play,108,16,Poor,Negative,2025,5
Acceptable app performance though it could be faster and more responsive. Been using this app for months now.,3,2023-08-21,Commercial Bank of Ethiopia,Google Play,109,18,Average,Neutral,2023,8
Amazing app! Makes mobile banking incredibly easy and secure. Overall satisfied with the service.,4,2023-09-04,Commercial Bank of Ethiopia,Google Play,97,14,Good,Positive,2023,9
Mixed experience - some features are good while others need work.,3,2024-05-04,Commercial Bank of Ethiopia,Google Play,65,11,Average,Neutral,2024,5
Excellent mobile banking app! Very user-friendly interface and fast transactions.,5,2023-11-28,Commercial Bank of Ethiopia,Google Play,81,10,Excellent,Positive,2023,11
Terrible user experience. The app is slow and unresponsive.,2,2024-08-07,Commercial Bank of Ethiopia,Google Play,59,9,Poor,Negative,2024,8
"Standard banking app with room for improvement in user experience. Comparing to other banks, this is my experience. Still my opinion.",3,2024-02-28,Commercial Bank of Ethiopia,Google Play,133,21,Average,Neutral,2024,2
Fast money transfer feature is amazing. No more long queues at the bank! Hope they continue to improve.,4,2024-11-04,Commercial Bank of Ethiopia,Google Play,103,18,Good,Positive,2024,11
Best banking app I ve used. Transaction history is very clear and detailed. Been using this app for months now.,5,2024-08-22,Commercial Bank of Ethiopia,Google Play,111,20,Excellent,Positive,2024,8
Very slow loading times. Takes forever to complete simple transactions. Update Still having the same experience.,2,2024-11-03,Commercial Bank of Ethiopia,Google Play,112,16,Poor,Negative,2024,11
Outstanding customer service through the app. Highly recommended!,4,2024-12-01,Commercial Bank of Ethiopia,Google Play,65,8,Good,Positive,2024,12
Poor customer service. No response to my complaints about app errors. Been using this app for months now.,2,2025-06-02,Commercial Bank of Ethiopia,Google Play,105,18,Poor,Negative,2025,6
Regular banking app - works fine for checking balance and simple transfers.,3,2023-12-10,Commercial Bank of Ethiopia,Google Play,75,12,Average,Neutral,2023,12
Excellent mobile banking app! Very user-friendly interface and fast transactions. Overall satisfied with the service.,5,2025-02-26,Commercial Bank of Ethiopia,Google Play,117,15,Excellent,Positive,2025,2
Outdated interface and confusing navigation. Needs complete redesign. Hope they continue to improve.,1,2024-09-01,Commercial Bank of Ethiopia,Google Play,100,13,Very Poor,Negative,2024,9
Fast money transfer feature is amazing. No more long queues at the bank! Been using this app for months now.,4,2023-10-07,Commercial Bank of Ethiopia,Google Play,108,20,Good,Positive,2023,10
Great user experience! The design is modern and intuitive. Overall satisfied with the service.,4,2025-03-16,Commercial Bank of Ethiopia,Google Play,94,14,Good,Positive,2025,3
Outstanding customer service through the app. Highly recommended! Still my opinion.,4,2024-10-16,Commercial Bank of Ethiopia,Google Play,83,11,Good,Positive,2024,10
Functional but not exceptional. Meets basic banking needs adequately. Overall satisfied with the service.,3,2024-03-01,Commercial Bank of Ethiopia,Google Play,105,14,Average,Neutral,2024,3
Best banking app I ve used. Transaction history is very clear and detailed. Update Still having the same experience.,4,2025-03-27,Commercial Bank of Ethiopia,Google Play,116,19,Good,Positive,2025,3
Fast money transfer feature is amazing. No more long queues at the bank! Update Still having the same experience.,4,2025-04-01,Commercial Bank of Ethiopia,Google Play,113,19,Good,Positive,2025,4
Cannot transfer money - app shows error messages constantly. Been using this app for months now.,2,2023-12-09,Commercial Bank of Ethiopia,Google Play,96,16,Poor,Negative,2023,12
Bill payment feature never works properly. Always shows server errors. Update Still having the same experience.,1,2024-10-07,Commercial Bank of Ethiopia,Google Play,111,16,Very Poor,Negative,2024,10
Quick and secure payments. The app works perfectly on my phone. Been using this app for months now.,4,2024-03-16,Commercial Bank of Ethiopia,Google Play,99,18,Good,Positive,2024,3
Mixed experience - some features are good while others need work. Overall satisfied with the service.,3,2025-03-24,Commercial Bank of Ethiopia,Google Play,101,16,Average,Neutral,2025,3
Outstanding customer service through the app. Highly recommended! Overall satisfied with the service.,4,2023-06-22,Commercial Bank of Ethiopia,Google Play,101,13,Good,Positive,2023,6
Ordinary mobile banking experience. Nothing outstanding but functional. Hope they continue to improve.,3,2025-05-22,Commercial Bank of Ethiopia,Google Play,102,13,Average,Neutral,2025,5
Acceptable app performance though it could be faster and more responsive. Update Still having the same experience.,3,2023-06-15,Commercial Bank of Ethiopia,Google Play,114,17,Average,Neutral,2023,6
Update Mixed experience - some features are good while others need work.,3,2024-11-26,Commercial Bank of Ethiopia,Google Play,72,12,Average,Neutral,2024,11
Outdated interface and confusing navigation. Needs complete redesign. Been using this app for months now.,2,2023-12-04,Commercial Bank of Ethiopia,Google Play,105,15,Poor,Negative,2023,12
"Outstanding customer service through the app. Highly recommended! Comparing to other banks, this is my experience.",4,2024-07-31,Commercial Bank of Ethiopia,Google Play,114,16,Good,Positive,2024,7
Average mobile banking experience. Some features work better than others.,3,2025-02-09,Commercial Bank of Ethiopia,Google Play,73,10,Average,Neutral,2025,2
Amazing app! Makes mobile banking incredibly easy and secure. Update Still having the same experience.,5,2024-08-24,Commercial Bank of Ethiopia,Google Play,102,15,Excellent,Positive,2024,8
Regular banking app - works fine for checking balance and simple transfers. Been using this app for months now.,3,2023-06-09,Commercial Bank of Ethiopia,Google Play,111,19,Average,Neutral,2023,6
Update Outdated interface and confusing navigation. Needs complete redesign. Hope they continue to improve.,1,2025-05-15,Commercial Bank of Ethiopia,Google Play,107,14,Very Poor,Negative,2025,5
Amazing app! Makes mobile banking incredibly easy and secure. Still my opinion.,4,2024-01-31,Commercial Bank of Ethiopia,Google Play,79,12,Good,Positive,2024,1
Best banking app I ve used. Transaction history is very clear and detailed. Overall satisfied with the service.,4,2025-04-16,Commercial Bank of Ethiopia,Google Play,111,18,Good,Positive,2025,4
Ordinary mobile banking experience. Nothing outstanding but functional. Overall satisfied with the service.,3,2023-10-14,Commercial Bank of Ethiopia,Google Play,107,13,Average,Neutral,2023,10
"Very convenient for paying bills and checking account balance anytime. Comparing to other banks, this is my experience.",4,2023-07-02,Commercial Bank of Ethiopia,Google Play,119,18,Good,Positive,2023,7
Decent banking app with basic features. Nothing special but gets the job done. Overall satisfied with the service.,3,2023-11-25,Commercial Bank of Ethiopia,Google Play,114,18,Average,Neutral,2023,11
Love the new features. Makes banking so much easier than going to the branch. Overall satisfied with the service.,4,2024-11-06,Commercial Bank of Ethiopia,Google Play,113,19,Good,Positive,2024,11
Very convenient for paying bills and checking account balance anytime. Been using this app for months now.,4,2023-11-07,Commercial Bank of Ethiopia,Google Play,106,17,Good,Positive,2023,11
Amazing app! Makes mobile banking incredibly easy and secure. Been using this app for months now.,4,2025-05-06,Commercial Bank of Ethiopia,Google Play,97,16,Good,Positive,2025,5
Update Cannot transfer money - app shows error messages constantly.,2,2024-08-25,Commercial Bank of Ethiopia,Google Play,67,10,Poor,Negative,2024,8
The app is okay for simple transactions but lacks advanced features. Overall satisfied with the service.,3,2025-02-01,Commercial Bank of Ethiopia,Google Play,104,16,Average,Neutral,2025,2
Security concerns - app doesn t feel safe for financial transactions.,1,2023-10-02,Commercial Bank of Ethiopia,Google Play,69,11,Very Poor,Negative,2023,10
App keeps crashing when I try to make payments. Very frustrating! Hope they continue to improve.,1,2023-12-26,Commercial Bank of Ethiopia,Google Play,96,16,Very Poor,Negative,2023,12
Mixed experience - some features are good while others need work. Been using this app for months now. Still my opinion.,3,2025-03-12,Commercial Bank of Ethiopia,Google Play,119,21,Average,Neutral,2025,3
Update Ordinary mobile banking experience. Nothing outstanding but functional.,3,2023-08-01,Commercial Bank of Ethiopia,Google Play,78,9,Average,Neutral,2023,8
Very convenient for paying bills and checking account balance anytime. Hope they continue to improve.,5,2024-11-28,Commercial Bank of Ethiopia,Google Play,101,15,Excellent,Positive,2024,11
App works fine but could use some improvements in the user interface. Update Still having the same experience.,3,2025-02-22,Commercial Bank of Ethiopia,Google Play,110,18,Average,Neutral,2025,2
Regular banking app - works fine for checking balance and simple transfers. Hope they continue to improve.,3,2024-02-08,Commercial Bank of Ethiopia,Google Play,106,17,Average,Neutral,2024,2
Very convenient for paying bills and checking account balance anytime. Overall satisfied with the service.,4,2024-06-30,Commercial Bank of Ethiopia,Google Play,106,15,Good,Positive,2024,6
"The app frequently logs me out during transactions. Needs major improvements. Comparing to other banks, this is my experience.",1,2024-12-17,Commercial Bank of Ethiopia,Google Play,126,19,Very Poor,Negative,2024,12
Standard banking app with room for improvement in user experience. Hope they continue to improve.,3,2025-01-21,Commercial Bank of Ethiopia,Google Play,97,15,Average,Neutral,2025,1
Unable to check account balance. App is unreliable and buggy. Overall satisfied with the service.,1,2024-05-18,Commercial Bank of Ethiopia,Google Play,97,15,Very Poor,Negative,2024,5
Worst banking app experience! Constantly freezes and crashes. Hope they continue to improve.,1,2023-12-19,Commercial Bank of Ethiopia,Google Play,92,13,Very Poor,Negative,2023,12
Best banking app I ve used. Transaction history is very clear and detailed. Been using this app for months now. Still my opinion.,4,2024-06-29,Commercial Bank of Ethiopia,Google Play,129,23,Good,Positive,2024,6
The app is stable and reliable. Never had any technical issues. Been using this app for months now.,4,2023-12-04,Commercial Bank of Ethiopia,Google Play,99,18,Good,Positive,2023,12
Very convenient for paying bills and checking account balance anytime. Update Still having the same experience.,4,2025-01-27,Commercial Bank of Ethiopia,Google Play,111,16,Good,Positive,2025,1
Best banking app I ve used. Transaction history is very clear and detailed. Hope they continue to improve.,4,2025-02-03,Commercial Bank of Ethiopia,Google Play,106,18,Good,Positive,2025,2
Quick and secure payments. The app works perfectly on my phone. Overall satisfied with the service.,5,2023-08-17,Commercial Bank of Ethiopia,Google Play,99,16,Excellent,Positive,2023,8
"Amazing app! Makes mobile banking incredibly easy and secure. Comparing to other banks, this is my experience.",4,2023-10-27,Commercial Bank of Ethiopia,Google Play,110,17,Good,Positive,2023,10
Average mobile banking experience. Some features work better than others. Still my opinion.,3,2024-03-03,Commercial Bank of Ethiopia,Google Play,91,13,Average,Neutral,2024,3
Update Love the new features. Makes banking so much easier than going to the branch.,4,2024-10-12,Commercial Bank of Ethiopia,Google Play,84,15,Good,Positive,2024,10
"Smooth and efficient. Customer support is very responsive. Comparing to other banks, this is my experience.",4,2023-06-12,Commercial Bank of Ethiopia,Google Play,107,16,Good,Positive,2023,6
"Outdated interface and confusing navigation. Needs complete redesign. Comparing to other banks, this is my experience.",1,2023-08-12,Commercial Bank of Ethiopia,Google Play,118,16,Very Poor,Negative,2023,8
Best banking app I ve used. Transaction history is very clear and detailed. Still my opinion.,4,2024-12-31,Commercial Bank of Ethiopia,Google Play,93,16,Good,Positive,2024,12
Outdated interface and confusing navigation. Needs complete redesign. Posting again to emphasize.,1,2024-10-23,Commercial Bank of Ethiopia,Google Play,97,12,Very Poor,Negative,2024,10
Great user experience! The design is modern and intuitive. Hope they continue to improve.,5,2024-11-21,Commercial Bank of Ethiopia,Google Play,89,14,Excellent,Positive,2024,11
Standard banking app with room for improvement in user experience. Been using this app for months now.,3,2025-02-22,Commercial Bank of Ethiopia,Google Play,102,17,Average,Neutral,2025,2
"Smooth and efficient. Customer support is very responsive. Comparing to other banks, this is my experience. Still my opinion.",4,2024-10-17,Commercial Bank of Ethiopia,Google Play,125,19,Good,Positive,2024,10
Decent banking app with basic features. Nothing special but gets the job done. Update Still having the same experience.,3,2023-10-04,Commercial Bank of Ethiopia,Google Play,119,19,Average,Neutral,2023,10
"Mixed experience - some features are good while others need work. Comparing to other banks, this is my experience.",3,2025-06-03,Commercial Bank of Ethiopia,Google Play,114,19,Average,Neutral,2025,6
Regular banking app - works fine for checking balance and simple transfers. Been using this app for months now.,3,2023-10-16,Bank of Abyssinia,Google Play,111,19,Average,Neutral,2023,10
App works fine but could use some improvements in the user interface.,3,2024-03-24,Bank of Abyssinia,Google Play,69,12,Average,Neutral,2024,3
Quick and secure payments. The app works perfectly on my phone.,4,2023-07-08,Bank of Abyssinia,Google Play,63,11,Good,Positive,2023,7
Great user experience! The design is modern and intuitive.,4,2024-04-16,Bank of Abyssinia,Google Play,58,9,Good,Positive,2024,4
Very slow loading times. Takes forever to complete simple transactions.,1,2024-06-12,Bank of Abyssinia,Google Play,71,10,Very Poor,Negative,2024,6
Fast money transfer feature is amazing. No more long queues at the bank!,5,2024-04-03,Bank of Abyssinia,Google Play,72,13,Excellent,Positive,2024,4
App works fine but could use some improvements in the user interface. Still my opinion.,3,2025-03-31,Bank of Abyssinia,Google Play,87,15,Average,Neutral,2025,3
"Perfect for daily banking needs. All features work as expected. Comparing to other banks, this is my experience.",4,2023-11-20,Bank of Abyssinia,Google Play,112,18,Good,Positive,2023,11
"Bill payment feature never works properly. Always shows server errors. Comparing to other banks, this is my experience.",2,2025-03-26,Bank of Abyssinia,Google Play,119,18,Poor,Negative,2025,3
App keeps crashing when I try to make payments. Very frustrating! Been using this app for months now.,1,2025-02-14,Bank of Abyssinia,Google Play,101,18,Very Poor,Negative,2025,2
Security concerns - app doesn t feel safe for financial transactions.,1,2023-06-16,Bank of Abyssinia,Google Play,69,11,Very Poor,Negative,2023,6
"Poor customer service. No response to my complaints about app errors. Comparing to other banks, this is my experience.",1,2023-08-12,Bank of Abyssinia,Google Play,118,19,Very Poor,Negative,2023,8
Smooth and efficient. Customer support is very responsive.,5,2024-11-03,Bank of Abyssinia,Google Play,58,8,Excellent,Positive,2024,11
Love the new features. Makes banking so much easier than going to the branch.,3,2023-07-20,Bank of Abyssinia,Google Play,77,14,Average,Neutral,2023,7
Standard banking app with room for improvement in user experience.,3,2025-04-18,Bank of Abyssinia,Google Play,66,10,Average,Neutral,2025,4
Amazing app! Makes mobile banking incredibly easy and secure. Been using this app for months now.,5,2023-10-11,Bank of Abyssinia,Google Play,97,16,Excellent,Positive,2023,10
Unable to check account balance. App is unreliable and buggy.,2,2025-03-26,Bank of Abyssinia,Google Play,61,10,Poor,Negative,2025,3
Best banking app I ve used. Transaction history is very clear and detailed.,3,2024-12-30,Bank of Abyssinia,Google Play,75,13,Average,Neutral,2024,12
Mixed experience - some features are good while others need work.,3,2024-03-30,Bank of Abyssinia,Google Play,65,11,Average,Neutral,2024,3
Amazing app! Makes mobile banking incredibly easy and secure.,4,2024-11-07,Bank of Abyssinia,Google Play,61,9,Good,Positive,2024,11
Ordinary mobile banking experience. Nothing outstanding but functional.,3,2025-02-03,Bank of Abyssinia,Google Play,71,8,Average,Neutral,2025,2
"Quick and secure payments. The app works perfectly on my phone. Comparing to other banks, this is my experience.",4,2023-08-05,Bank of Abyssinia,Google Play,112,19,Good,Positive,2023,8
Great user experience! The design is modern and intuitive. Hope they continue to improve.,5,2023-11-06,Bank of Abyssinia,Google Play,89,14,Excellent,Positive,2023,11
App works fine but could use some improvements in the user interface. Update Still having the same experience.,3,2023-10-06,Bank of Abyssinia,Google Play,110,18,Average,Neutral,2023,10
Acceptable app performance though it could be faster and more responsive.,3,2025-01-15,Bank of Abyssinia,Google Play,73,11,Average,Neutral,2025,1
Cannot transfer money - app shows error messages constantly. Update Still having the same experience.,2,2024-03-13,Bank of Abyssinia,Google Play,101,15,Poor,Negative,2024,3
App keeps crashing when I try to make payments. Very frustrating!,1,2023-08-27,Bank of Abyssinia,Google Play,65,11,Very Poor,Negative,2023,8
Very convenient for paying bills and checking account balance anytime.,5,2024-04-22,Bank of Abyssinia,Google Play,70,10,Excellent,Positive,2024,4
Outdated interface and confusing navigation. Needs complete redesign.,1,2023-09-13,Bank of Abyssinia,Google Play,69,8,Very Poor,Negative,2023,9
Excellent mobile banking app! Very user-friendly interface and fast transactions.,3,2025-03-28,Bank of Abyssinia,Google Play,81,10,Average,Neutral,2025,3
Regular banking app - works fine for checking balance and simple transfers.,3,2023-11-11,Bank of Abyssinia,Google Play,75,12,Average,Neutral,2023,11
"Smooth and efficient. Customer support is very responsive. Comparing to other banks, this is my experience.",4,2024-12-02,Bank of Abyssinia,Google Play,107,16,Good,Positive,2024,12
Smooth and efficient. Customer support is very responsive. Hope they continue to improve. Posting again to emphasize.,5,2023-07-04,Bank of Abyssinia,Google Play,117,17,Excellent,Positive,2023,7
Amazing app! Makes mobile banking incredibly easy and secure. Update Still having the same experience.,4,2025-04-20,Bank of Abyssinia,Google Play,102,15,Good,Positive,2025,4
Smooth and efficient. Customer support is very responsive. Hope they continue to improve. Still my opinion.,4,2023-11-03,Bank of Abyssinia,Google Play,107,16,Good,Positive,2023,11
Mixed experience - some features are good while others need work. Overall satisfied with the service.,3,2024-01-02,Bank of Abyssinia,Google Play,101,16,Average,Neutral,2024,1
Update Regular banking app - works fine for checking balance and simple transfers.,3,2025-03-12,Bank of Abyssinia,Google Play,82,13,Average,Neutral,2025,3
Great user experience! The design is modern and intuitive. Overall satisfied with the service.,4,2023-11-18,Bank of Abyssinia,Google Play,94,14,Good,Positive,2023,11
Great user experience! The design is modern and intuitive. Been using this app for months now.,4,2023-10-12,Bank of Abyssinia,Google Play,94,16,Good,Positive,2023,10
The app is stable and reliable. Never had any technical issues.,4,2023-08-20,Bank of Abyssinia,Google Play,63,11,Good,Positive,2023,8
Fast money transfer feature is amazing. No more long queues at the bank! Overall satisfied with the service.,4,2023-09-14,Bank of Abyssinia,Google Play,108,18,Good,Positive,2023,9
"Amazing app! Makes mobile banking incredibly easy and secure. Comparing to other banks, this is my experience.",4,2023-10-31,Bank of Abyssinia,Google Play,110,17,Good,Positive,2023,10
Terrible user experience. The app is slow and unresponsive.,2,2025-05-29,Bank of Abyssinia,Google Play,59,9,Poor,Negative,2025,5
The app is okay for simple transactions but lacks advanced features.,3,2024-05-22,Bank of Abyssinia,Google Play,68,11,Average,Neutral,2024,5
Amazing app! Makes mobile banking incredibly easy and secure. Hope they continue to improve.,4,2024-02-24,Bank of Abyssinia,Google Play,92,14,Good,Positive,2024,2
Bill payment feature never works properly. Always shows server errors.,1,2023-11-21,Bank of Abyssinia,Google Play,70,10,Very Poor,Negative,2023,11
Very slow loading times. Takes forever to complete simple transactions. Posting again to emphasize.,2,2024-10-26,Bank of Abyssinia,Google Play,99,14,Poor,Negative,2024,10
"Decent banking app with basic features. Nothing special but gets the job done. Comparing to other banks, this is my experience.",3,2024-09-29,Bank of Abyssinia,Google Play,127,21,Average,Neutral,2024,9
Love the new features. Makes banking so much easier than going to the branch. Been using this app for months now.,4,2025-02-03,Bank of Abyssinia,Google Play,113,21,Good,Positive,2025,2
Fast money transfer feature is amazing. No more long queues at the bank! Still my opinion.,4,2023-08-14,Bank of Abyssinia,Google Play,90,16,Good,Positive,2023,8
Functional but not exceptional. Meets basic banking needs adequately.,3,2023-07-18,Bank of Abyssinia,Google Play,69,9,Average,Neutral,2023,7
"Functional but not exceptional. Meets basic banking needs adequately. Comparing to other banks, this is my experience.",3,2024-08-10,Bank of Abyssinia,Google Play,118,17,Average,Neutral,2024,8
Bill payment feature never works properly. Always shows server errors. Update Still having the same experience.,2,2024-11-05,Bank of Abyssinia,Google Play,111,16,Poor,Negative,2024,11
Poor customer service. No response to my complaints about app errors.,1,2023-09-09,Bank of Abyssinia,Google Play,69,11,Very Poor,Negative,2023,9
Very convenient for paying bills and checking account balance anytime. Hope they continue to improve.,5,2024-03-08,Bank of Abyssinia,Google Play,101,15,Excellent,Positive,2024,3
Acceptable app performance though it could be faster and more responsive. Hope they continue to improve.,3,2025-01-20,Bank of Abyssinia,Google Play,104,16,Average,Neutral,2025,1
Perfect for daily banking needs. All features work as expected.,4,2024-06-01,Bank of Abyssinia,Google Play,63,10,Good,Positive,2024,6
Outstanding customer service through the app. Highly recommended!,5,2024-05-06,Bank of Abyssinia,Google Play,65,8,Excellent,Positive,2024,5
Cannot transfer money - app shows error messages constantly. Been using this app for months now.,1,2024-04-15,Bank of Abyssinia,Google Play,96,16,Very Poor,Negative,2024,4
Decent banking app with basic features. Nothing special but gets the job done. Been using this app for months now.,3,2024-08-05,Bank of Abyssinia,Google Play,114,20,Average,Neutral,2024,8
Decent banking app with basic features. Nothing special but gets the job done. Hope they continue to improve.,3,2024-08-14,Bank of Abyssinia,Google Play,109,18,Average,Neutral,2024,8
